"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Status"
"C1,C5,C20","22uC","https://datasheet.lcsc.com/lcsc/2304140030_Nichicon-UWX1C220MCL1GB_C433198.pdf","Capacitor_SMD:CP_Elec_5x5.4","3","","UWX1C220MCL1GB","OK"
"C2,C6,C13,C16","100nC","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KRX7R9BB104_C82601.pdf","Capacitor_SMD:C_1206_3216Metric","4","","CC1206KRX7R9BB104","OK"
"C3,C4,C11,C17","10uC","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL31A106KBHNNNE_C13585.pdf","Capacitor_SMD:C_1206_3216Metric","4","","CL31A106KBHNNNE","OK"
"C9","1000uC","https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-EEEFT1E102UP_C401766.pdf","Capacitor_SMD:CP_Elec_10x10.5","1","","EEEFT1E102UP","OK"
"C10","100uC","https://datasheet.lcsc.com/lcsc/2304140030_Nichicon-UWT1H101MNL1GS_C445063.pdf","Capacitor_SMD:CP_Elec_8x10","1","","UWT1H101MNL1GS","OK"
"C12","1uC","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KKX7R0BB105_C70463.pdf","Capacitor_SMD:C_1206_3216Metric","1","","CC1206KKX7R0BB105","OK"
"C14","10nC","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KKX7RCBB103_C107192.pdf","Capacitor_SMD:C_1206_3216Metric","1","","CC1206KKX7RCBB103","OK"
"C15","1nC","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CC1206KKX7RDBB102_C23631.pdf","Capacitor_SMD:C_1206_3216Metric","1","","CC1206KKX7RDBB102","OK"
"C19","100pC","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf","Capacitor_SMD:C_0805_2012Metric","1","","CL21C101JBANNNC","OK"
"D1","SMAJ16CA","https://datasheet.lcsc.com/lcsc/1809192020_Diodes-Incorporated-SMAJ16CA-13-F_C134960.pdf","Diode_SMD:D_SMA","1","","SMAJ16CA-13-F","OK"
"D2,D3,D5,D6,D8,D9","S1A-13-F","https://datasheet.lcsc.com/lcsc/2304140030_Diodes-Incorporated-S1A-13-F_C150735.pdf","Diode_SMD:D_SMA","6","","S1A-13-F","OK"
"D4","BZX84C10","https://datasheet.lcsc.com/lcsc/2304140030_Diodes-Incorporated-BZX84C10-7-F_C500793.pdf","Package_TO_SOT_SMD:SOT-23","1","","BZX84C10-7-F","OK"
"D7","LED","https://datasheet.lcsc.com/lcsc/1810271709_Everlight-Elec-333-2SURD-S530-A3_C87271.pdf","LED_THT:LED_D5.0mm","1","","333-2SURD/S530-A3","OK"
"FL1","SRF0905-202Y","https://datasheet.lcsc.com/lcsc/2304140030_BOURNS-SRF0905-202Y_C2651160.pdf","Filter:Filter_Bourns_SRF0905_6.0x9.2mm","1","","SRF0905-202Y","OK"
"HS1,HS2,HS3","Heatsink","~","Heatsink_custom:Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm","3","","",""
"J1","Barrel_Jack_Switch","https://datasheet.lcsc.com/lcsc/2108131730_Korean-Hroparts-Elec-DC-005-20A_C136744.pdf","Connector_BarrelJack:BarrelJack_Horizontal","1","","DC-005-20A","OK"
"J2","Conn_01x06","https://datasheet.lcsc.com/lcsc/2306091006_HCTL-PZ254-1-06-W-8-5_C2894948.pdf","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1","","",""
"J3","Conn_01x02","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","","",""
"L1","100uL","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121518_Taiyo-Yuden-NRS8040T101MJGK_C223045.pdf","Inductor_SMD:L_Taiyo-Yuden_NR-80xx","1","","NRS8040T101MJGK","OK"
